name,rank,artist,year,id,length,danceability,energy,key,loudness,speechiness,acousticness,liveness,valence,tempo
Rockstar,36,['Nickelback'],2007,6n9yCXvLhnYMgJIiIcMu7D,252.04,0.616,0.91,0,-3.004,0.0386,0.0459,0.343,0.693,144.072
Thnks Fr Th Mmrs,37,['Fall Out Boy'],2007,3Zwu2K0Qa5sT6teCCHPShP,203.506,0.459,0.891,10,-5.057,0.0623,0.00511,0.106,0.588,154.837
What I've Done,38,['Linkin Park'],2007,18lR4BzEs7e3qzc0KVkTpU,205.613,0.623,0.93,5,-5.285,0.0324,0.0141,0.138,0.287,120.119
Summer Love,39,['Justin Timberlake'],2007,1MBM7CyZbwJpVbbZJnHHRg,252.973,0.606,0.591,0,-7.228,0.087,0.0756,0.328,0.477,95.802
You,40,"['Lloyd', 'Lil Wayne']",2007,5Y77SQxEr1eiofPeUTPHxM,273.133,0.412,0.876,5,-6.008,0.47,0.102,0.297,0.703,130.159
Wait For You,41,['Elliott Yamin'],2007,0U969xYNlAyfzi8P1TaO7u,261.32,0.764,0.487,0,-6.734,0.0281,0.25,0.184,0.352,116.027
Last Night,42,"['Diddy', 'Keyshia Cole']",2007,5gfPJ45gpn3ThswDyeW0Qc,388.226,0.888,0.833,3,-4.381,0.0912,0.256,0.485,0.962,121.002
Make It Rain,43,"['Fat Joe', 'Lil Wayne']",2007,4JPCdSaqs9dJd7RatFSHww,247.413,0.744,0.697,11,-5.063,0.197,0.0106,0.0842,0.767,149.28
Make Me Better,44,"['Fabolous', 'Ne-Yo']",2007,0YkJU6TjjwzsVXUPRIO0DB,253.573,0.607,0.599,11,-6.886,0.0995,0.33,0.199,0.562,86.491
Ice Box,45,['Omarion'],2007,5qhlC4Rzals34zxovrPzKp,256.426,0.775,0.731,8,-5.446,0.134,0.189,0.129,0.821,131.105
Lips Of An Angel,46,['Hinder'],2007,40LQiUUUKXVGyNs09lHVjW,261.853,0.476,0.736,2,-5.38,0.0343,0.0217,0.203,0.251,129.084
Waiting On The World To Change,47,['John Mayer'],2007,5imShWWzwqfAJ9gXFpGAQh,201.173,0.578,0.756,2,-5.82,0.115,0.157,0.249,0.663,176.739
Lost Without U,48,['Robin Thicke'],2007,4V2F0DZrAXOWq9hkwMMG3x,254.146,0.664,0.351,0,-12.136,0.118,0.226,0.106,0.816,113.204
I'm A Flirt,49,"['R. Kelly', 'Bow Wow', 'T.I.', 'T-Pain']",2007,6OOabDq14n7G9r0HViLLZR,60.133,0.484,0.471,11,-14.784,0.393,0.378,0.606,0.737,154.173
If Everyone Cared,50,['Nickelback'],2007,44w63XqGr3sATAzOnOySgF,218.013,0.519,0.85,6,-4.678,0.0354,0.000246,0.279,0.211,132.022
Get It Shawty,51,['Lloyd'],2007,2a03afRiyAbNAleOByVju4,209.533,0.822,0.905,5,-4.032,0.241,0.123,0.0496,0.674,128.014
Face Down,52,['The Red Jumpsuit Apparatus'],2007,4wzjNqjKAKDU82e8uMhzmr,192,0.545,0.932,7,-2.189,0.0399,0.000665,0.127,0.464,92.956
The Way I Live,53,"['Baby Boy Da Prince', 'Lil Boosie']",2007,68Zq7PMcPIQE8ol1x3gAqw,324.906,0.88,0.438,0,-7.562,0.248,0.0147,0.0907,0.714,90.02
Shortie Like Mine,54,"['Bow Wow', 'Chris Brown', 'Johnta Austin']",2007,6oUGAx0vkBcnGzYkvw0ZsA,268.066,0.758,0.642,7,-8.128,0.221,0.0745,0.191,0.701,142.078
It Ends Tonight,55,['The All-American Rejects'],2007,1FMHNVeJ9s1x1l1WlaRs2I,244.826,0.454,0.636,0,-4.731,0.0273,0.00228,0.154,0.313,87.89
A Bay Bay,56,['Hurricane Chris'],2007,6MnFB3qurhmGs1xdjrz5Bg,257.12,0.577,0.668,6,-4.884,0.514,0.105,0.0924,0.702,60.709
Because Of You,57,['Ne-Yo'],2007,6CFPFnS9EcLs2I0nWqtWci,266.84,0.81,0.538,0,-5.784,0.0356,0.528,0.0951,0.828,109.97
